trainee,timestamp,eventType,event
2,14.5.2020 11:14:37,bash-command,43-cd
2,14.5.2020 11:14:43,bash-command,43-pwd
2,14.5.2020 11:15:19,bash-command,43-ls
2,14.5.2020 11:15:57,bash-command,43-ssh2john.py
2,14.5.2020 11:16:17,bash-command,43-cd
2,14.5.2020 11:16:18,bash-command,43-cd
2,14.5.2020 11:16:19,bash-command,43-cd
2,14.5.2020 11:16:21,bash-command,43-ls
2,14.5.2020 11:16:23,bash-command,43-cd
2,14.5.2020 11:16:26,bash-command,43-ls
2,14.5.2020 11:16:27,bash-command,43-pwd
2,14.5.2020 11:16:29,bash-command,43-cd
2,14.5.2020 11:16:31,bash-command,43-pwd
2,14.5.2020 11:16:35,bash-command,43-cd
2,14.5.2020 11:16:37,bash-command,43-pwd
2,14.5.2020 11:16:59,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:17:47,bash-command,43-pwd
2,14.5.2020 11:17:58,bash-command,43-ls
2,14.5.2020 11:18:16,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:19:27,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:19:35,bash-command,43-cat
2,14.5.2020 11:19:45,bash-command,43-cat
2,14.5.2020 11:19:47,bash-command,43-ls
2,14.5.2020 11:20:00,bash-command,43-rm
2,14.5.2020 11:20:01,bash-command,43-ls
2,14.5.2020 11:20:05,bash-command,43-rm
2,14.5.2020 11:20:25,bash-command,43-ls
2,14.5.2020 11:20:38,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:20:40,bash-command,43-ls
2,14.5.2020 11:21:57,bash-command,43-john
2,14.5.2020 11:23:22,bash-command,43-john
2,14.5.2020 11:25:01,bash-command,43-john
2,14.5.2020 11:25:40,bash-command,43-john
2,14.5.2020 11:30:08,bash-command,44-ssh
2,14.5.2020 11:34:18,bash-command,44-ssh
2,14.5.2020 11:35:28,bash-command,44-ssh
2,14.5.2020 11:35:39,bash-command,44-ssh
2,14.5.2020 11:36:46,bash-command,44-ssh
2,14.5.2020 11:37:02,bash-command,44-ssh
2,14.5.2020 11:38:22,bash-command,44-ssh
2,14.5.2020 11:41:09,bash-command,44-chmod
2,14.5.2020 11:41:13,bash-command,44-ssh
3,14.5.2020 10:30:18,bash-command,40-nmap
3,14.5.2020 10:30:59,bash-command,40-nmap
3,14.5.2020 10:46:17,bash-command,41-msf
3,14.5.2020 10:47:22,bash-command,41-msfconsole
3,14.5.2020 10:49:36,msf-command,41-use
3,14.5.2020 10:50:45,msf-command,41-use
3,14.5.2020 10:51:12,msf-command,41-show
3,14.5.2020 10:53:15,msf-command,41-exploit
3,14.5.2020 10:54:27,msf-command,41-set
3,14.5.2020 10:54:32,msf-command,41-exploit
3,14.5.2020 10:54:52,msf-command,41-show
3,14.5.2020 10:59:16,msf-command,41-set
3,14.5.2020 10:59:43,msf-command,41-set
3,14.5.2020 11:00:47,msf-command,41-set
3,14.5.2020 11:02:24,msf-command,41-set
3,14.5.2020 11:43:42,msf-command,43-exploit
3,14.5.2020 11:44:04,msf-command,43-exit
3,14.5.2020 11:44:28,bash-command,43-cd
3,14.5.2020 11:44:32,bash-command,43-ls
3,14.5.2020 11:49:33,bash-command,43-ls
3,14.5.2020 11:49:50,bash-command,43-cd
3,14.5.2020 11:49:56,bash-command,43-cd
3,14.5.2020 11:49:59,bash-command,43-ls
3,14.5.2020 11:50:11,bash-command,43-ls
3,14.5.2020 11:53:26,bash-command,43-cd
3,14.5.2020 11:53:29,bash-command,43-ls
3,14.5.2020 11:54:15,bash-command,43-cd
3,14.5.2020 11:54:17,bash-command,43-ls
3,14.5.2020 11:54:21,bash-command,43-cd
3,14.5.2020 11:54:24,bash-command,43-ls
3,14.5.2020 11:57:05,bash-command,43-ls
3,14.5.2020 11:57:12,bash-command,43-cd
3,14.5.2020 11:57:15,bash-command,43-ls
3,14.5.2020 11:57:44,bash-command,43-cd
3,14.5.2020 11:59:33,bash-command,43-/usr/share/john/ssh2john.py
3,14.5.2020 11:59:39,bash-command,43-ls
3,14.5.2020 11:59:50,bash-command,43-/usr/share/john/ssh2john.py
3,14.5.2020 12:02:35,bash-command,43-/usr/share/john/john.exe
3,14.5.2020 12:03:13,bash-command,43-cat
3,14.5.2020 12:05:07,bash-command,43-john
3,14.5.2020 12:06:14,bash-command,43-john
3,14.5.2020 12:07:11,bash-command,43-john
3,14.5.2020 12:15:03,bash-command,44-su
3,14.5.2020 12:15:39,bash-command,44-cd
